,生育場所,,,,,"花期
（月）",特記,学名,標準和名,記載分布,,,,,,,,
89,,,,,○,5,準絶滅危惧種（環）,Amsonia elliptica (Thunb.) Roem. et Schult.　,チョウジソウ,(津),互生,細長い披針形,全縁,集散花序,合5深裂,薄青色,毒,
90,,,,,○砂浜,5〜6,,Calystegia soldanella (Linn.) Roem. et Schult.,ハマヒルガオ,(海),互生,腎心形,全縁,葉腋に1個ずつ,漏斗形,淡紅色,不明,
91,,,,,○砂浜,7〜10,,Cuscuta chinensis Lam.　,ハマネナシカズラ,(海),互生,鱗片葉。薄膜質で卵形,全縁,所々に固まって付く,合5裂,白色,薬,
92,,,,,○,5〜6,,Tngonotis brevipes (Maxim.) Maxim.　,ミズタビラコ,(全),互生,楕円形,全縁,穂状,合5深裂,淡青紫色,不明,
93,,,,,○砂浜,7〜9,,Vitex rotundifolia Linn. fil.,ハマゴウ,(海),対生,楕円形から広卵形,全縁,円錐花序,漏斗状。5裂し唇形,青紫色,薬,
94,,,,,○,7〜8,,Mimulus inflatus (Miq.) Nakai,ミゾホウズキ,(匹),対生,倒卵形,3〜4対の粗い鋸歯,単項花序,合5裂,黄色,不明,
95,,,,○,○,8〜10,,Limnophila sessiliflora Blume　,キクモ,(益),輪生,"沈水葉は大きく広がり、繊細な糸状に細裂
気中葉は幅広で硬い",粗く深い切れ込み,葉腋に1個,合5浅裂,淡紅色〜紫紅色,不明,
96,,,,,○,8〜10,,Lindernia  angustifolia (Benth.) Wettst.　,アゼトウガラシ,(全),対生,披針形で先はとがる,浅い鋸歯,上部の葉腋に1個ずつ,合4裂唇形,淡紅紫色,不明,
97,,,,,○,8〜10,,Lindernia  pyxidaria Linn.　,アゼナ,(全),対生,卵円形または楕円形,全縁,葉腋に1個ずつ,合4裂唇形,淡紅紫色,不明,
98,,,,,○,4〜5,,Veronica peregrina Linn.　,ムシクサ,(益),下部で対生、上部は互生,狭披針形または広線形,下部の葉は鋸歯有り,葉腋に1個ずつ,合4深裂,淡紅色〜白色,不明,
99,,,,○,○,5〜6,,Veronica anagallis-aquatica Linn.,カワヂシャ,(高),対生,披針形〜長楕円状披針形。基部は円形,ややとがる鋸歯,総状,合5深裂,白淡紅紫色,食・薬,
100,,,,,○砂浜,5〜7,絶滅危惧II類(VU),"Orobanche coerulescens Stephan, ex Willd.　",ハマウツボ,(海),互生,退化した鱗片葉,全縁,穂状,合5裂唇形,淡紫色,不明,
101,,,,,○,6〜9,,Conandron ramondioides Sieb. et Zucc.　,イワタバコ,(匹)(横)(椛)(吉),根生,楕円状卵形,不ぞろいな鋸歯,散形花序,合5裂,紫色,食・薬,
102,○,○,,,,7〜10,絶滅危惧II類(VU),Utricularia pilosa (Makino) Makino　,ノタヌキモ,(高) (益),基部で3〜4分枝,羽状裂葉。立体的に2〜3回分岐,,花茎の先端に短い総状,2・距有、唇形花、上唇は立ち、下唇は半円形に大きく開出,淡黄色,不明,
103,○,○,,,,7〜9,準絶滅危惧種（環）,Utricularia japonica Makino　,タヌキモ,(高)(益),基部で2分枝,互生状に何回か分枝,,花茎の先端に短い総状,2・距有、唇形花、距は下唇より短く鈍頭,黄色,不明,
104,,,,,○（海岸岩場）,8〜9,,Hedyotis biflora (Linn.) Lam. var. parvifolia　Hook. et Arn.　,ソナレムグラ,(海),対生,楕円・肉厚,全縁,集散花序,筒状4裂,白色,不明,
105,,,,,○,6〜10,,Lobelia chinensis Lout.　,ミゾカクシ,(全),互生,狭い披針形,低い鋸歯,花茎の先端に1つ,唇形花で上二弁と下三弁に分かれる,白色〜淡紫,不明,
106,,,,,○,8〜10,,Eupatorium lindleyanum DC.　,サワヒヨドリ ,(匹)(津)(吉),対生、ときに輪生,披針形ときに3深裂,粗く不規則,散房状,筒状花先端5裂,淡紫色まれに白色,不明,
107,,,,,○,8〜10,,Kalimeris pinnatifida (Maxim.) Kitam.,ユウガギク,(全),互生,披針形〜卵状長楕円形。しばしば羽状に中裂,欠刻状の大きな鋸歯,花茎の先端に頭状花,舌状花と管状花,淡青紫色〜白色,食,
108,,,,,○,7〜11,,Heteropappus arenarius Kitam.　,ハマべノギク,(高)(益)(海),互生・基部から放射状に分枝,さじ形,全縁かとき に歯牙を散生,花茎の先端に頭状花,舌状花と管状花,白色〜淡青紫色,不明,
109,,,,,○（海岸岩場）,9〜12,,Aster spathulifolius Maxim.　,ダルマギク,(海),互生,さじ形、肉厚、多毛,全縁、腺毛あり,花茎の先端に頭状花,舌状花と管状花,青紫色〜白色,不明,
110,,,,,○,7〜10,,Ligularia fischeri (Ledeb.) Turcz.　,オタカラコウ,(匹)　　　　　　　　　,根生、茎葉は互生,大きな腎心形,粗い鋸歯,頭状花が穂状につく,舌状花と管状花,黄色,食,
111,,,,,○,5〜8,,Senecio nikoensis Miq.　,サワギク,(匹)(椛),互生,羽状に深裂,粗く不規則な欠刻,頭状花が散房状につく,舌状花と管状花,黄色,不明・近縁種は毒,
112,,,,,○,4〜6,,Senecio pierotii Miq.　,サワオグルマ,(匹)(津),ロゼット状。茎葉は互生,根生葉はへら状披針形、茎葉は卵状披針形,浅い鋸歯,頭状花が散房状につく,舌状花と管状花,黄色,食,
113,,,,,○,9〜10,,Artemisia capillaris Thunb.　,カワラヨモギ,(高)(海),ロゼット状。茎葉は互生,2回羽状に全裂し、終裂片は糸状,全縁,頭状花が円錐状につく,筒状花のみ,白色,薬,
114,,,,,○,8〜9,,Eclipta prostrata (Linn.) Linn.　,タカサブロウ,(全),対生,披針形,浅い鋸歯,花茎の先端に頭状花,舌状花と管状花,白色,薬,
115,,,,,○砂浜,7〜10,,"Wedelia prostrata (Hook, et Arn.) Hemsl.　",ネコノシタ（ハマグルマ）　　　　　,(海)　,対生,長楕円形,粗い鋸歯,花茎の先端に頭状花,舌状花と管状花,黄色,不明,
116,,,,,○（海岸岩場）,8〜12,,Crepidiastrum keiskeanum (Maxim.) Nakai　,アゼトウナ,(海),ロゼット状,倒卵形。やや肉質,不規則なギザギザ,頭状花が密散房状,14個の舌状花,黄色,不明,
117,,,,,○（海岸岩場）,10〜1,,Crepidiastrum lanceolatum (Houtt.) Nakai　,ホソバワダン,(海),ロゼット状,長楕円形葉と羽状深裂葉の2形,,頭状花が散状につく,12個の舌状花,黄色,食・沖縄「ンジャナ」,
118,,,,,○砂浜,4〜10,,Ixeris repens (Linn.) A. Gray　,ハマニガナ,(海),地下茎に互生,掌状に3〜5中〜全裂し、変化が多い。,不規則なギザギザ,花茎の先端に頭状花,10〜15個の舌状花,黄色,不明,
,,,,,,,,,,,,,,,,,,
,8,11,0,15,108,,,,,,,,,,,,,
